user_id,tag
1,not_cdo
1,participant
2,not_cdo
3,labs
3,mind
3,not_cdo
3,old
3,participant
3,sport
4,labs
4,mind
4,not_cdo
4,old
4,participant
4,sport
5,labs
5,mind
5,not_kid
5,old
5,participant
5,sport
6,labs
6,mind
6,not_cdo
6,old
6,participant
6,sport
7,labs
7,mind
7,not_cdo
7,old
7,participant
7,sport
10,labs
10,mind
10,not_cdo
10,old
10,participant
10,sport
11,kids
11,not_cdo
11,participant
12,kids
12,not_cdo
12,participant
13,kids
13,not_cdo
13,participant
14,kids
14,not_cdo
14,participant
15,kids
15,not_cdo
15,participant
16,kids
16,not_cdo
16,participant
17,kids
17,not_cdo
17,participant
18,kids
18,not_cdo
18,participant
19,kids
19,not_cdo
19,participant
20,kids
20,not_cdo
20,participant
21,kids
21,not_cdo
21,participant
22,kids
22,not_cdo
22,participant
23,kids
23,not_cdo
23,participant
24,kids
24,not_cdo
24,participant
25,kids
25,not_cdo
25,participant
26,kids
26,not_cdo
26,participant
27,kids
27,not_cdo
27,participant
28,kids
28,not_cdo
28,participant
29,kids
29,not_cdo
29,participant
30,kids
30,not_cdo
30,participant
31,kids
31,not_cdo
31,participant
32,kids
32,not_cdo
32,participant
33,kids
33,not_cdo
33,participant
34,kids
34,not_cdo
34,participant
35,kids
35,not_cdo
35,participant
36,kids
36,not_cdo
36,participant
37,kids
37,not_cdo
37,participant
38,kids
38,not_cdo
38,participant
39,kids
39,not_cdo
39,participant
40,kids
40,not_cdo
40,participant
41,kids
41,not_cdo
41,participant
42,kids
42,not_cdo
42,participant
43,kids
43,not_cdo
43,participant
44,kids
44,not_cdo
44,participant
45,kids
45,not_cdo
45,participant
46,kids
46,not_cdo
46,participant
47,kids
47,not_cdo
47,participant
48,kids
48,not_cdo
48,participant
49,kids
49,not_cdo
49,participant
50,kids
50,not_cdo
50,participant
51,kids
51,not_cdo
51,participant
52,kids
52,not_cdo
52,participant
53,kids
53,not_cdo
53,participant
54,kids
54,not_cdo
54,participant
55,kids
55,not_cdo
55,participant
56,kids
56,not_cdo
56,participant
57,kids
57,not_cdo
57,participant
58,kids
58,not_cdo
58,participant
59,kids
59,not_cdo
59,participant
60,kids
60,not_cdo
60,participant
61,kids
61,not_cdo
61,participant
62,kids
62,not_cdo
62,participant
63,kids
63,not_cdo
63,participant
64,kids
64,not_cdo
64,participant
65,kids
65,not_cdo
65,participant
66,kids
66,not_cdo
66,participant
67,kids
67,not_cdo
67,participant
68,kids
68,not_cdo
68,participant
69,kids
69,not_cdo
69,participant
70,kids
70,not_cdo
70,participant
71,kids
71,not_cdo
71,participant
72,kids
72,not_cdo
72,participant
73,kids
73,not_cdo
73,participant
74,kids
74,not_cdo
74,participant
75,kids
75,not_cdo
75,participant
76,kids
76,not_cdo
76,participant
77,77
77,kids
77,not_cdo
77,participant
78,kids
78,not_cdo
78,participant
79,kids
79,not_cdo
79,participant
80,kids
80,not_cdo
80,participant
81,kids
81,not_cdo
81,participant
82,kids
82,not_cdo
82,participant
83,kids
83,not_cdo
83,participant
84,kids
84,not_cdo
84,participant
85,kids
85,not_cdo
85,participant
86,kids
86,not_cdo
86,participant
87,kids
87,not_cdo
87,participant
88,kids
88,not_cdo
88,participant
89,kids
89,not_cdo
89,participant
90,kids
90,not_cdo
90,participant
91,kids
91,not_cdo
91,participant
92,kids
92,not_cdo
92,participant
93,kids
93,not_cdo
93,participant
94,kids
94,not_cdo
94,participant
95,kids
95,not_cdo
95,participant
96,kids
96,not_cdo
96,participant
97,kids
97,not_cdo
97,participant
98,kids
98,not_cdo
98,participant
99,kids
99,not_cdo
99,participant
100,kids
100,not_cdo
100,participant
101,kids
101,not_cdo
101,participant
102,kids
102,not_cdo
102,participant
103,kids
103,not_cdo
103,participant
104,kids
104,not_cdo
104,participant
105,kids
105,not_cdo
105,participant
106,kids
106,not_cdo
106,participant
107,kids
107,not_cdo
107,participant
108,kids
108,not_cdo
108,participant
109,kids
109,not_cdo
109,participant
110,kids
110,not_cdo
110,participant
111,kids
111,not_cdo
111,participant
112,kids
112,not_cdo
112,participant
113,kids
113,not_cdo
113,participant
114,kids
114,not_cdo
114,participant
115,kids
115,not_cdo
115,participant
116,kids
116,not_cdo
116,participant
117,kids
117,not_cdo
117,participant
118,labs
118,mind
118,not_cdo
118,old
118,participant
118,sport
119,labs
119,mind
119,not_cdo
119,old
119,participant
119,sport
120,labs
120,mind
120,not_cdo
120,old
120,participant
120,sport
121,labs
121,mind
121,not_cdo
121,old
121,participant
121,sport
122,labs
122,mind
122,not_cdo
122,old
122,participant
122,sport
123,labs
123,mind
123,not_cdo
123,old
123,participant
123,sport
124,labs
124,mind
124,not_cdo
124,old
124,participant
124,sport
125,labs
125,mind
125,not_cdo
125,old
125,participant
125,sport
126,labs
126,mind
126,not_cdo
126,old
126,participant
126,sport
127,labs
127,mind
127,not_cdo
127,old
127,participant
127,sport
128,labs
128,mind
128,not_cdo
128,old
128,participant
128,sport
129,labs
129,mind
129,not_cdo
129,old
129,participant
129,sport
130,labs
130,mind
130,not_cdo
130,old
130,participant
130,sport
131,labs
131,mind
131,not_cdo
131,old
131,participant
131,sport
132,labs
132,mind
132,not_cdo
132,old
132,participant
132,sport
133,labs
133,mind
133,not_cdo
133,old
133,participant
133,sport
134,labs
134,mind
134,not_cdo
134,old
134,participant
134,sport
135,labs
135,mind
135,not_cdo
135,old
135,participant
135,sport
136,labs
136,mind
136,not_cdo
136,old
136,participant
136,sport
137,labs
137,mind
137,not_cdo
137,old
137,participant
137,sport
138,labs
138,mind
138,not_cdo
138,old
138,participant
138,sport
139,labs
139,mind
139,not_cdo
139,old
139,participant
139,sport
140,labs
140,mind
140,not_cdo
140,old
140,participant
140,sport
141,labs
141,mind
141,not_cdo
141,old
141,participant
141,sport
142,labs
142,mind
142,not_cdo
142,old
142,participant
142,sport
143,labs
143,mind
143,not_cdo
143,old
143,participant
143,sport
144,labs
144,mind
144,not_cdo
144,old
144,participant
144,sport
145,labs
145,mind
145,not_cdo
145,old
145,participant
145,sport
146,labs
146,mind
146,not_cdo
146,old
146,participant
146,sport
147,labs
147,mind
147,not_cdo
147,old
147,participant
147,sport
148,labs
148,mind
148,not_cdo
148,old
148,participant
148,sport
149,labs
149,mind
149,not_cdo
149,old
149,participant
149,sport
150,labs
150,mind
150,not_cdo
150,old
150,participant
150,sport
151,labs
151,mind
151,not_cdo
151,old
151,participant
151,sport
152,labs
152,mind
152,not_cdo
152,old
152,participant
152,sport
153,labs
153,mind
153,not_cdo
153,old
153,participant
153,sport
154,labs
154,mind
154,not_cdo
154,old
154,participant
154,sport
155,labs
155,mind
155,not_cdo
155,old
155,participant
155,sport
156,labs
156,mind
156,not_cdo
156,old
156,participant
156,sport
157,labs
157,mind
157,not_cdo
157,old
157,participant
157,sport
158,labs
158,mind
158,not_cdo
158,old
158,participant
158,sport
159,labs
159,mind
159,not_cdo
159,old
159,participant
159,sport
160,labs
160,mind
160,not_cdo
160,old
160,participant
160,sport
161,labs
161,mind
161,not_cdo
161,old
161,participant
161,sport
162,labs
162,mind
162,not_cdo
162,old
162,participant
162,sport
163,labs
163,mind
163,not_cdo
163,old
163,participant
163,sport
164,labs
164,mind
164,not_cdo
164,old
164,participant
164,sport
165,labs
165,mind
165,not_cdo
165,old
165,participant
165,sport
166,labs
166,mind
166,not_cdo
166,old
166,participant
166,sport
167,labs
167,mind
167,not_cdo
167,old
167,participant
167,sport
168,labs
168,mind
168,not_cdo
168,old
168,participant
168,sport
169,labs
169,mind
169,not_cdo
169,old
169,participant
169,sport
170,labs
170,mind
170,not_cdo
170,old
170,participant
170,sport
171,labs
171,mind
171,not_cdo
171,old
171,participant
171,sport
172,labs
172,mind
172,not_cdo
172,old
172,participant
172,sport
173,labs
173,mind
173,not_cdo
173,old
173,participant
173,sport
174,labs
174,mind
174,not_cdo
174,old
174,participant
174,sport
175,labs
175,mind
175,not_cdo
175,old
175,participant
175,sport
176,labs
176,mind
176,not_cdo
176,old
176,participant
176,sport
177,labs
177,mind
