id_bet,label
16163,2710.931
16164,2848.7988
16165,2914.5051
16166,2755.5168
16167,2755.5168
16168,2247.1013
16169,1470.5438
16170,2747.2925
16171,3764.472
16172,2511.484
16174,2736.7405
16175,3261.78
16176,1426.5946
16177,2986.1692
16178,2937.0234
16180,1426.5946
16181,1470.7092
16182,3285.6204
16183,2755.5168
16185,2937.0234
16186,2547.4497
16187,1537.921
16188,2882.7407
16189,2760.5808
16191,2889.0051
16192,2229.4644
16194,3594.9927
16195,2604.3787
16196,3104.4968
16197,2801.0947
16198,1492.4567
16200,2886.8704
16201,1674.9752
16202,2511.484
16203,2401.841
16204,2572.344
16205,3702.4602
16208,2785.9143
16209,1514.708
16210,2560.487
16212,3266.844
16213,3443.7683
16214,1947.1002
16215,2973.6255
16216,3718.9329
16217,2165.8196
16218,2530.2603
16219,3250.5146
16220,2693.228
16221,1814.7091
16222,2736.7405
16223,2760.5808
16224,3036.3223
16225,2828.531
16226,1947.1002
16227,2465.3752
16228,2779.3572
16229,2456.613
16230,4001.2603
16231,4409.761
16232,2487.0183
16233,2094.5894
16234,1444.2311
16235,1407.8181
16236,2346.965
16237,1451.9327
16238,1939.5387
16239,3070.091
16240,2346.965
16241,3763.5188
16242,1960.3755
16243,2779.3572
16244,2346.965
16245,1444.2311
16246,4045.1062
16247,1928.3239
16248,2434.5964
16249,1011.83875
16250,1444.2311
16251,4241.0464
16252,1444.2311
16253,2247.1013
16254,1674.9752
16255,2854.3567
16256,2796.701
16257,2755.5168
16258,2546.3574
16259,2228.325
16260,2779.3572
16261,2562.9736
16262,1425.4546
16263,2772.361
16264,3988.2656
16265,2974.1028
16266,2404.446
16267,2845.2915
16268,2547.4497
16269,2809.7546
16270,2317.808
16271,3646.2903
16272,3210.041
16273,1674.9752
16274,1960.3755
16275,3043.0981
16276,4156.031
16277,2755.5168
16279,2724.657
16280,2987.1223
16281,2886.8704
16282,2903.0923
16283,1511.2332
16284,2547.4497
16285,2117.4375
16287,2499.5825
16288,1808.8296
16289,1011.83875
16290,1987.1769
16291,2599.4558
16292,3013.162
16293,3955.896
16294,2487.0183
16295,1898.738
16296,2417.4385
16297,2886.8704
16298,2776.4812
16299,2736.7405
16300,2886.8704
16301,2857.5762
16302,2583.851
16303,2624.5244
16304,2801.0947
16305,2722.2866
16306,1973.413
16307,3400.652
16308,2722.2866
16309,1470.7092
16310,3353.5083
16311,1987.1769
16312,2801.0947
16313,2568.1174
16314,2645.2493
16315,2547.4497
16316,2644.1536
16317,3146.6711
16318,1497.4117
16319,2586.9907
16320,2755.5168
16321,2722.2866
16322,3432.9817
16323,1854.7888
16324,1889.0283
16325,3751.634
16326,2207.0635
16327,2385.4111
16328,3250.5146
16329,2845.2915
16330,1960.3755
16331,3597.3298
16332,2094.2563
16333,2943.532
16334,2937.0234
16335,2821.5854
16336,2825.8118
16337,2937.0234
16339,2814.6277
16340,3601.3826
16341,3815.8882
16342,1453.4625
16343,2886.8704
16344,3238.2935
16345,1426.5946
16346,2511.7292
16347,2986.1692
16349,2339.624
16350,2391.9893
16351,2478.7112
16352,2997.2192
16353,2561.948
16354,2796.4001
16355,3007.283
16356,3398.0566
16357,1386.518
16359,2943.532
16360,2755.5168
16361,2755.5168
16362,2760.5808
16364,3619.5693
16365,2756.47
16367,2677.2422
16368,1426.5946
16369,3515.0063
16370,2675.682
16371,2963.388
16372,2694.4583
16373,3007.283
16374,2736.7405
16375,1793.475
16376,3111.2727
16377,3120.2441
16378,2646.566
16379,3110.8838
16380,2943.7993
16381,2229.4644
16382,2902.1392
16383,3048.1382
16384,2568.96
16385,1674.9752
16386,2660.8157
16387,2886.8704
16388,1407.8181
16389,2755.5168
16390,2867.2427
16391,1537.921
16392,2224.4666
16393,2660.8157
16394,3034.716
16395,2755.5168
16396,2943.532
16397,2756.47
16398,3113.3062
16399,2030.0719
16400,1854.7888
16401,2210.688
16402,2804.6907
16403,2966.5415
16404,2943.532
16405,2779.3572
16406,2487.0183
16407,1426.5946
16408,2986.1692
16409,2710.9412
16410,2345.3345
16411,2847.2527
16413,2779.3572
16414,2189.3877
16415,3113.3062
16416,1470.7092
16417,2485.8372
16418,2943.532
16419,2755.5168
16420,2385.4111
16421,1939.5387
16422,2792.2893
16423,2937.0234
16424,2981.7722
16425,1784.3837
16426,3052.5044
16427,3114.2593
16428,2765.1023
16429,2318.2444
16430,1784.3837
16431,2943.532
16432,2831.7266
16433,1828.4983
16434,2710.9412
16435,2644.1536
16436,2568.2144
16437,2205.431
16439,2736.7405
16440,4164.5405
16441,2278.8708
16442,1444.2311
16443,2569.8013
16444,2710.931
16445,2631.033
16446,1947.1002
16447,3100.8145
16448,3162.48
16450,3522.6592
16451,3355.4329
16452,2743.632
16453,2485.3083
16455,1386.518
16456,2849.8564
16457,2569.8013
16458,3232.16
16460,2593.6516
16461,2619.389
16462,1430.6326
16463,2722.2866
16464,1987.1769
16466,1793.475
16467,2755.5168
16468,4223.116
16469,3437.9236
16470,2943.532
16471,2710.9412
16475,3700.2551
16477,2229.4644
16478,2755.5168
16479,3285.6204
16480,2756.47
16483,2424.004
16484,2692.1545
16485,2793.7224
16486,2943.532
16487,2760.5808
16488,2986.1692
16489,2760.5808
16490,3150.5173
16491,1426.5946
16492,2937.0234
16493,2407.6426
16494,2828.531
16495,2523.5266
16496,2779.3572
16497,1939.5387
16498,2986.1692
16499,2737.6936
16500,1426.5946
16501,3123.784
16502,1444.2311
16503,1744.307
16504,3814.24
16505,3357.9976
16506,1444.2311
16507,2383.822
16508,2492.5142
16509,3042.8308
16510,1444.2311
16511,2701.3398
16512,2821.5854
16513,3533.1355
16514,2886.8704
16515,3716.893
16516,2755.5168
16517,2893.379
16518,2229.4644
16519,2973.2185
16520,2723.7634
16521,3163.433
16522,3310.2222
16523,2299.468
16524,1426.5946
16525,2528.6443
16526,2878.656
16527,3100.8145
16528,2760.5808
16529,1426.5946
16530,3468.598
16531,1718.9244
16532,1987.1769
16533,3150.5173
16534,1537.921
16535,2821.5854
16536,2755.5168
16537,3063.3152
16538,2755.5168
16540,2675.682
16541,2785.9143
16542,2815.1765
16543,2981.7722
16544,2725.8088
16545,1425.4546
16546,2691.9736
16547,1425.4546
16548,1960.3755
16549,2485.8372
16551,4449.917
16552,3355.5144
16553,2724.657
16554,3379.2732
16555,2914.1362
16556,3972.1147
16557,2488.5967
16559,2638.2883
16560,1854.7888
16561,3137.1465
16562,2886.8704
16563,2807.4512
16564,4232.5366
16565,1869.0222
16566,1412.8304
16567,2821.5854
16568,2772.5598
16569,2893.379
16570,2755.5168
16571,1453.4625
16572,3539.7449
